Cameroon	2015	2013	2010	2003	2015	2013	2015	2011	2015	2011	2015
Canada	2010	2008	2010	1982	2010	2001	2009	2008	1984	1991	1995
Cape Verde	2011	2011	2010	2012	1974	2013	1991	1990	2009	1990	1987
Cayman Islands	2003	2003	2003	2014	1953	2008	2003	2007	2015	2015	1981
Central African Republic	2012	2012	2012	2012	2012	2013	2011	2013	2012	EMPTY	2011
Chad	2013	2013	2010	2012	1996	2014	2003	2014	2001	2014	2013
Chile	1983	1983	1983	2003	1980	1997	1979	1948	1999	1979	1976
China	2010	2010	2010	1992	1979	1986	1983	1962	2015	1973	1977
Christmas Island	1999	1999	1996	2010	1990	2014	EMPTY	2010	2001	2015	2015
Colombia	2015	2015	2009	2012	1976	2011	1978	2012	2013	1980	1976
Comoros	2010	2010	1998	1978	2007	2011	1978	2011	2015	1980	2012
Congo	2013	2015	2003	2013	2013	2007	1977	2013	2008	1993	1977
Cook Islands	1945	1984	1945	1987	1985	1995	1975	1991	2014	1974	1991
Costa Rica	2001	2015	2003	2006	1958	2008	2007	2010	2011	2000	2009
Croatia	2003	2003	2015	2014	2015	2014	2010	1976	2014	1990	2008
Cuba	2015	1990	2015	2007	1984	1954	1978	2012	2014	1988	1950
Cyprus	2008	2001	2010	1994	2013	1988	1978	1988	1985	2009	1974
Czech Republic	2014	2014	2014	1980	1943	1974	2010	2014	2014	1978	2008
Côte d'Ivoire	2015	2015	1987	2013	1945	2010	1979	2010	1945	1982	1985
Democratic Republic of the Congo	2006	2013	2015	EMPTY	2015	2013	2001	2006	2012	2011	2015
Denmark	2014	2014	2014	2011	1989	2015	2010	1988	2014	1993	1993
Djibouti	1958	1958	1958	1958	1958	1958	EMPTY	1958	EMPTY	EMPTY	EMPTY
Dominica	2015	2015	2006	2011	1996	2014	2007	2011	2015	2014	2013
Dominican Republic	2006	1997	1998	1950	2015	2007	1996	2011	2007	1996	2003
East Timor	1958	1958	1958	EMPTY	1958	1958	EMPTY	1958	EMPTY	EMPTY	EMPTY
Ecuador	2015	2015	2015	1993	2015	2008	1978	2006	2008	2001	1975
Egypt	2010	1958	2010	1994	1965	1991	1985	1991	2010	1996	1987
El Salvador	2003	2003	2003	2013	1966	2008	2003	2013	2013	2014	2014
Equatorial Guinea	2009	2011	2009	EMPTY	2012	2014	2015	2014	EMPTY	EMPTY	EMPTY
Estonia	2000	2015	2000	1967	1965	2008	2010	2010	2015	1978	1961
Ethiopia	2013	1958	2013	1958	1958	2012	2012	1995	2013	EMPTY	EMPTY
Falkland Islands	1985	1985	1985	EMPTY	1985	1985	1985	EMPTY	1985	EMPTY	1985
Fiji	1995	1980	1995	1982	2003	2012	1978	2011	1981	1981	1976
Finland	2015	2015	2015	1995	1995	2008	2008	1988	2008	1993	1976
Former Yugoslav Republic of Macedonia	1994	1994	1994	1998	2001	2010	1981	1975	2002	2011	1983
France	2007	2010	2006	1995	2013	2007	1979	1976	1956	1988	1979
French Guiana	1983	2010	1998	2006	1977	2000	1981	1999	2011	1977	1981
French Polynesia	1994	1987	2012	1983	1988	1984	1973	2000	2014	1975	2009
Gabon	2007	2013	2007	2003	2006	2007	2012	2008	2014	2003	2006
Georgia	1998	1998	1966	1965	1973	1996	1984	1968	1977	1975	1975
Germany	2014	2003	2014	1970	1974	2000	1966	1994	1975	1987	1981
Ghana	2010	2010	2010	EMPTY	2013	1943	EMPTY	2010	1943	EMPTY	EMPTY
Gibraltar	1997	1994	2011	2010	1979	1989	1975	2010	1988	1998	1974
Greece	2010	2007	2010	2009	2001	2015	1973	1980	1982	1980	1975
Greenland	2010	2010	2014	1976	2011	2010	1996	1947	1967	1978	2004
Grenada	1998	1998	1998	1996	2001	2000	1995	2010	1994	1992	2014
Guadeloupe	1998	1998	1998	2011	2000	1982	2000	2004	2014	2008	1980
Guatemala	2015	2015	2015	2013	2003	2014	2015	2013	1943	2014	2009
Guinea	2004	2004	2004	2004	2009	2013	2013	2014	2014	2014	2004
Guinea-Bissau	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	2012	EMPTY	2012	2010	EMPTY	EMPTY
Guyana	2010	2015	1998	2008	2014	2013	EMPTY	2010	2010	2012	EMPTY
Haiti	2010	2010	1980	1962	1975	1944	1961	1943	2000	EMPTY	1946
Honduras	2015	2015	2015	2008	2015	1988	1985	2010	1958	1993	1989
Hong Kong	2015	2003	2015	2008	2012	1975	1983	2013	1978	2014	1975
Hungary	1994	2000	2014	1992	1990	1974	1981	2014	2006	1980	2007
Iceland	2006	2010	2006	1953	1978	1976	1992	1942	1998	1999	1992
India	1998	2015	2014	1994	1978	1944	2015	1991	1944	2010	2013
Indonesia	2009	2015	1963	1963	1978	2011	1978	2010	2015	1979	2009
Iran	2010	2010	2010	2011	2007	2011	2011	2012	2011	2010	2012
Iraq	2015	2015	2013	2013	2004	1953	2015	2015	1954	1954	2015
Ireland	2007	2003	2007	2009	1986	1979	1979	2008	2007	1990	1986
Israel	2010	2010	2010	2013	1956	1976	1992	1974	1954	1957	1982
Italy	2006	1994	2006	1991	1992	2013	1968	1989	2010	1982	1977
Jamaica	2006	1988	2006	1980	1983	1990	1976	2011	1980	1978	1976
Japan	1998	1999	2003	2010	1956	2012	2013	2002	1948	2013	1974
Jordan	2010	2010	2010	1998	1995	1994	1992	2015	2001	1999	1990
Kazakhstan	2013	2010	1999	1967	1959	2013	1975	2009	2012	2003	1974
Kenya	1987	1995	2015	1994	1995	1996	2014	2006	1985	2003	1991
Kiribati	2015	2009	2001	1987	1999	2015	1973	2015	2009	2009	1976
Kuwait	2010	2010	2010	2000	1958	1981	1998	1981	2010	1981	1980
Kyrgyzstan	2014	2014	2007	2013	2009	2006	2011	2011	2015	EMPTY	EMPTY
Laos	2015	2010	2010	2004	2001	1966	1955	2014	1966	2014	2014
Latvia	2000	2014	2000	1961	1967	2008	2010	2010	2013	1983	1997
Lebanon	2010	2010	2010	2009	1994	1998	1997	2012	1996	2012	2010
Liberia	1989	1989	2013	1989	2012	1943	2012	2010	1944	EMPTY	1943
Libya	2010	2010	2010	1961	2013	1974	1976	1975	1963	1996	1975
Lithuania	2000	2015	2008	1964	1965	2015	1997	2011	2009	2011	1990
Luxembourg	2014	2011	2014	1974	1953	1988	2010	1989	1989	1982	1982
Macau	2009	2009	2009	2008	2015	2012	2015	1998	2012	1970	1975
Madagascar	2011	2001	2011	2006	2011	2014	2006	2012	2004	1988	2002
Malaysia	2010	2010	1990	2006	2009	1984	2011	2003	1963	1988	1988
Maldives	2015	2015	2010	1994	2001	2002	2001	2007	2014	2004	2007
Mali	2009	2009	2009	1994	2007	1994	2004	1958	2014	1983	1988
Malta	2014	2001	2014	1976	1965	1976	1976	1973	1981	1979	1973
Marshall Islands	2004	1951	2013	1991	1987	2011	1973	1974	1975	2008	1981
Martinique	2012	2010	2012	2011	2013	1993	1995	2011	2014	2004	1983
Mauritania	1958	1958	1958	1994	1958	1944	2001	1958	1985	1992	1990
Mauritius	2015	2015	2015	2006	2007	2004	1995	2011	1996	1987	1993
Mexico	2015	2011	2015	1976	1991	1973	1974	2004	1987	1995	1973
Micronesia	2009	2014	1995	1980	1995	2003	1975	1989	1977	1988	1979
Moldova	2007	2015	2007	1961	1970	1970	1984	1970	1978	1980	1992
Mongolia	1997	2007	1998	1988	1980	2013	2010	2014	2001	1985	1973
Morocco	2014	2012	2015	1996	2014	1996	1967	1997	1960	2007	1989
Mozambique	2008	2008	2008	1995	1995	2004	1995	2008	2008	EMPTY	2002
Myanmar	2010	2010	2014	1982	1987	1975	2008	2014	2014	1983	2006
Namibia	2010	1998	2010	1977	1982	2006	1997	1991	1998	1992	1999
Nauru	2010	2010	1999	2011	2013	2006	2014	EMPTY	2015	EMPTY	EMPTY
Nepal	2004	2001	2004	2014	2012	2015	2015	2015	2001	EMPTY	2015
Netherlands	2014	2014	2014	1978	2015	2012	2010	2014	1965	1993	1981
Netherlands Antilles	2007	1999	2007	2010	1977	2013	1975	2010	1979	2012	1989
New Caledonia	1998	2010	1998	2009	1995	1988	1975	1975	2006	1978	1979
New Zealand	2015	2015	1947	1995	1998	1988	1988	1986	1973	1973	1988
Nicaragua	2015	2015	2009	2003	1961	2015	2003	1999	1958	EMPTY	1963
Niger	2010	2010	2010	2013	1983	2010	1979	2013	2011	1987	1984
Nigeria	2010	1944	2010	EMPTY	1944	2010	EMPTY	2010	2011	EMPTY	EMPTY
North Korea	1994	2015	1998	1964	1973	1990	1980	1982	1977	1982	1990
Norway	2014	2014	2014	2011	1986	2015	2007	2008	1977	2015	1992
Oman	2015	2015	2010	1994	1981	1990	1995	1994	1991	1995	1990
Pakistan	2014	2004	2010	2014	2007	2006	2012	2008	2013	1996	2013
Palau	1998	1998	1948	2011	2006	1989	1975	1974	1981	EMPTY	1977
Panama	1983	1998	1983	1994	1945	1981	1993	1983	1941	1976	1958
Papua New Guinea	2010	1954	2010	1954	1996	1943	1954	1952	1944	EMPTY	EMPTY
Paraguay	2014	2012	2014	2014	2010	2015	1997	2015	2014	1985	1976
Peru	1983	1997	2015	1977	1988	2015	1973	2003	2004	1993	1989
Philippines	1988	1987	1993	2011	1963	1945	1955	2011	2011	1988	1986
Poland	2010	2010	1938	2010	2008	1990	2001	1988	2004	1973	2002
Portugal	2012	2015	2012	1993	1952	2010	1978	2002	1977	1976	1979
Puerto Rico	1997	1997	1983	2011	1999	1975	1995	1968	1990	2012	1987
Qatar	2010	2010	2010	2006	1978	1992	2003	1997	1980	1987	1981
Romania	2015	2007	2014	2015	1962	2012	1978	1975	2009	1996	1991
Russia	2001	2001	2010	1965	1989	1984	1978	2012	2011	2012	1989
Rwanda	2015	2015	2015	EMPTY	2013	2015	EMPTY	2010	2013	2010	EMPTY
Réunion	1998	1998	2015	1981	1992	2004	1998	2011	2007	1979	1980
Saint Helena	1968	2010	1968	2009	1945	1944	2001	1963	1944	EMPTY	1985
Saint Kitts and Nevis	2015	2015	2015	2010	1996	2013	EMPTY	2011	EMPTY	2009	2015
Saint Lucia	2010	2010	2015	2011	2015	2011	2001	2011	1942	2012	2006
Saint Pierre and Miquelon	1999	2012	2012	2011	1982	1981	2014	1983	2011	EMPTY	1992
Saint Vincent and the Grenadines	2010	2010	2010	2011	1949	2015	EMPTY	2014	EMPTY	2013	EMPTY
Samoa	1997	1997	1997	2013	1997	2014	2013	2013	1984	2013	1974
Saudi Arabia	2010	2010	2015	1983	2001	1978	1992	2010	1978	1982	1982
Senegal	1996	2013	1983	2014	1944	2012	2012	2015	1944	1992	1999
Seychelles	2015	2015	1958	2013	2001	1988	EMPTY	2014	2013	1988	1985
Singapore	2015	1997	2015	1992	2015	1975	1977	1974	1977	1974	1974
Slovakia	1994	2014	2014	2001	1941	2014	1985	1963	1941	2011	2004
Slovenia	2014	2007	1989	2014	2001	2014	2010	1975	2014	1994	2001
Solomon Islands	2015	2014	1944	1995	1944	1944	EMPTY	1944	1945	1985	1997
South Africa	2014	2014	1993	1982	1983	1982	2013	2001	1979	1990	1998
South Georgia and the South Sandwich Islands	2012	2012	2012	2003	1955	2000	1957	2012	1955	EMPTY	2013
South Korea	2004	2004	1998	1999	2001	1983	1980	1997	1969	1975	1978
Spain	2008	1995	2003	1977	1990	1974	2010	1976	1990	1992	2008
Sri Lanka	2015	2012	1958	2014	1958	2013	2001	2008	2015	2015	2013
Sudan	2013	1960	2015	1996	2012	1995	2013	1956	1944	2010	1959
Suriname	2012	1988	2013	2013	2013	2013	1976	2013	1985	1980	1976
Swaziland	2015	2007	2015	2004	2007	2009	2001	2009	2013	EMPTY	2013
Sweden	2014	2014	2014	1999	1975	2008	2012	1978	2008	1982	1978
Switzerland	2015	2015	2015	2001	2000	2014	1993	1976	2010	2013	1982
Syria	2010	2010	2010	2003	2010	2012	1992	2012	1997	2002	2015
São Tomé and Príncipe	2015	2012	2015	EMPTY	2015	2012	EMPTY	2012	EMPTY	EMPTY	EMPTY
Taiwan	1997	1997	1997	2003	1977	1998	1990	1975	1978	1986	1985
Tajikistan	2006	2015	1980	1993	1981	2009	1984	2012	2011	2009	2010
Tanzania	1958	2015	2013	2014	1958	2012	2014	2012	2013	2013	2011
Thailand	2015	1997	2012	2006	1963	2012	1976	1975	1956	1988	2014
The Gambia	2010	2010	2010	2014	1991	2012	1994	2010	1999	2015	2009
Togo	2010	2010	2015	2010	2015	2010	2015	2010	2013	1990	2012
Tonga	2013	1981	1988	2001	1983	1978	2014	2010	2010	2008	2013
Trinidad and Tobago	2010	2010	2010	1992	2001	1984	1987	2010	1978	1985	1985
Tunisia	2010	2010	2014	2011	1987	1976	1988	2009	1987	2002	2015
Turkey	2010	2010	2010	1992	1953	2011	1987	2006	1954	1995	2014
Turkmenistan	2010	2010	2015	1968	1995	2009	2012	2009	2012	2002	1997
Tuvalu	2008	1995	2008	1990	1987	1987	2010	1992	1989	1981	1973
Uganda	1959	1959	1957	EMPTY	1961	2006	2001	2001	2007	2015	2015
Ukraine	1962	2010	1962	1962	1984	2015	1987	2007	2009	1981	1979
United Arab Emirates	2015	1999	1998	1981	1957	1992	1997	1997	2001	1997	1989
United Kingdom	1991	1991	1991	2008	1992	2015	1955	1983	1994	1998	1995
United States	2014	2014	2011	1987	1997	1975	1974	1949	1979	1999	1973
United States Minor Outlying Islands	2007	2000	2007	1993	1955	1988	1974	2000	1973	1973	1973
Uruguay	2012	2012	1986	1998	1958	2000	1992	2001	2003	1990	2000
Uzbekistan	2001	1995	2004	1994	1979	2015	2011	2012	2011	2000	1980
Vanuatu	2013	1980	2012	1988	2006	2012	1974	2011	1986	1980	1974
Venezuela	2015	2015	1953	1991	1961	1983	2004	2011	2013	1993	1978
Vietnam	1968	1969	1998	2011	1979	2012	1978	2000	1965	1968	1986
Western Sahara	1997	1997	1997	1996	1966	1973	1974	2001	1975	EMPTY	EMPTY
Yemen	2012	2012	2011	2013	2013	2012	1980	2013	2012	2008	2012
Yugoslavia	2014	2015	2014	2010	2010	2004	1995	1979	2010	1984	2013
Zambia	2012	2012	2012	EMPTY	2006	2007	2012	2012	2012	2010	2007
Zimbabwe	1993	1983	1967	1966	1991	1981	1981	1986	1982	1982	1989
