Micronesia	1989	1993	2000	1993	1954	1993	2008	1993	2008	2008	2008
Moldova	1985	1987	1969	1986	2006	1963	1990	1961	1989	1984	1987
Mongolia	2012	1969	2012	1995	1999	1970	1997	1978	1986	1984	1984
Morocco	1967	1967	1967	2013	1994	2013	1983	1986	1983	1983	1983
Mozambique	2008	2008	2008	1995	2009	2008	2002	2013	2002	2002	2006
Myanmar	2014	2014	2014	1982	2014	2014	2014	2014	2014	2014	2014
Namibia	1982	1980	1980	1998	1991	1993	2008	1977	2008	2008	2010
Nauru	2011	2015	2011	2013	2012	2011	2011	2011	2011	2011	2011
Nepal	2015	2011	2001	2015	2003	2012	2013	2012	2015	2013	2001
Netherlands	1956	1996	1996	1997	1997	2000	2000	2000	2000	2000	2000
Netherlands Antilles	2008	2009	2008	1983	1995	2014	2015	2014	2015	1980	2015
New Caledonia	2004	2000	2004	1992	2015	1992	1981	2015	1981	1981	1981
New Zealand	2007	2007	2009	1998	2010	2014	2014	2014	2014	2014	2014
Nicaragua	2001	1999	2001	1957	2013	1957	2012	1966	2011	2012	2012
Niger	1983	1961	2013	1984	2012	2012	1982	1979	1982	1982	1982
Nigeria	2011	2009	1944	EMPTY	2011	1944	2010	1944	1944	2010	2010
North Korea	1980	1980	1980	1973	2009	2008	2011	2015	1978	1984	1984
Norway	1988	1988	1988	2015	1974	2015	2015	2010	2015	2010	2015
Oman	2006	1992	1996	1960	2007	2015	2014	2014	2014	2014	2014
Pakistan	2012	2014	2012	1993	2013	1958	1958	1958	1958	1958	1958
Palau	1975	1950	2000	2015	1950	1948	1986	2004	1987	1987	1987
Panama	1944	1944	1986	1946	2013	1946	1966	1978	1946	1966	1966
Papua New Guinea	1943	2004	1953	2004	1943	2004	1956	2010	1956	1956	1956
Paraguay	2010	1975	1988	1998	2014	2012	2015	1988	2012	2015	2015
Peru	2008	2008	2014	2013	1997	1996	2015	2013	1993	2015	2015
Philippines	1963	1963	2011	1994	2006	2003	2010	1957	1963	2010	2014
Poland	1987	1987	1987	1997	1986	2004	2004	2004	2004	2008	1991
Portugal	2008	2008	2008	1998	1998	2012	1945	2012	2012	1952	1951
Puerto Rico	1965	1945	1994	1984	2006	1984	1948	1984	1948	1948	1948
Qatar	1982	1988	1982	1986	2007	2001	1979	1978	2011	1979	1979
Romania	1987	1987	1976	1997	1997	2015	2015	2015	2015	1999	1999
Russia	1979	1979	1964	2011	2009	2011	2015	2009	2013	2013	2013
Rwanda	2014	2013	2013	EMPTY	2015	2010	2015	2015	2014	2015	2015
Réunion	1984	1984	1984	2008	2013	2015	1997	2015	1997	1997	1997
Saint Helena	1944	1944	1944	1993	2009	1999	1960	1960	1962	1960	1960
Saint Kitts and Nevis	1996	1996	1978	2015	2010	1994	2015	1994	2015	1978	2014
Saint Lucia	1943	1943	2011	1991	2010	1948	1998	1947	1998	1998	1998
Saint Pierre and Miquelon	1992	1985	1992	1998	2003	1987	1987	1995	1997	1982	1985
Saint Vincent and the Grenadines	1949	1949	1949	2014	1995	1952	1993	1994	1993	1993	1993
Samoa	1997	1997	1996	1999	1997	1999	1999	1999	1999	1999	1999
Saudi Arabia	1984	1992	1978	1983	2014	1957	2002	1992	2007	2002	2004
Senegal	1986	1986	2012	1983	1996	1984	1979	1946	2012	1978	2012
Seychelles	1988	1988	1988	2008	2015	2008	2008	2008	2008	2008	2008
Singapore	1975	1974	1964	1997	1960	1963	1985	1958	1983	1983	1983
Slovakia	1980	1980	1980	2003	1974	2011	2011	2006	2011	1990	1992
Slovenia	2010	2010	2010	1997	1996	2014	1984	2014	2003	1997	1997
Solomon Islands	1994	1991	1994	1995	1985	1997	2015	1994	2015	2015	2015
South Africa	2009	1980	2009	2000	2003	2014	1983	2014	1985	1983	1983
South Georgia and the South Sandwich Islands	2007	2006	2006	2006	1955	1997	1997	2008	1997	2006	1997
South Korea	1993	1993	1993	1973	1974	2013	1978	2015	2015	2001	2001
Spain	2010	2010	2010	1959	2000	1959	2008	1959	1959	2006	2002
Sri Lanka	2013	2013	2012	1958	2012	2012	2011	1958	2011	2011	2015
Sudan	1961	1957	1961	1959	1960	1961	1944	1961	1944	1944	1944
Suriname	1943	2013	1985	1980	1988	2013	1985	2006	2013	1985	1985
Swaziland	2013	2008	2004	2003	2012	2015	2012	2011	2006	2012	2011
Sweden	1985	2010	2010	2015	2000	2003	2003	2015	2003	1981	2004
Switzerland	1984	1984	1984	2015	2015	2003	2003	2003	2003	2003	2003
Syria	1992	1992	1992	1999	1997	2009	1999	1999	1999	1999	1999
São Tomé and Príncipe	2012	2015	2012	EMPTY	2012	2015	2015	2015	2015	2015	2015
Taiwan	1986	1986	1986	1996	1997	1987	1994	1993	1994	1994	1994
Tajikistan	1982	1993	2012	1983	1983	1966	1966	1966	1966	1982	1981
Tanzania	2009	1961	2009	1961	2014	1961	2013	1961	2014	2012	2014
Thailand	1973	1973	2014	1979	2015	1977	1974	1992	2014	1974	1974
The Gambia	2009	2009	2009	2011	2010	2011	2009	1994	2015	2009	1999
Togo	1986	1982	2012	1986	2014	2013	2013	2000	2014	2013	2013
Tonga	1986	2000	1986	2000	2015	2000	2013	1989	2014	2014	2014
Trinidad and Tobago	1943	1946	1976	2015	2010	1995	1992	1946	1947	1991	1992
Tunisia	1996	1996	1996	1998	2015	2011	1978	2012	2011	1978	1978
Turkey	1992	1953	1992	1997	2012	1964	2014	1964	2006	2014	2008
Turkmenistan	1974	1974	1974	1985	2000	1996	1999	1968	1996	1996	1996
Tuvalu	1974	1999	1988	2010	1997	2010	2012	2010	2012	2012	2012
Uganda	1961	1961	1957	1958	1957	1958	1958	1958	1958	1958	1958
Ukraine	1987	1987	1987	1997	2006	2014	1990	1998	1984	1987	1987
United Arab Emirates	1992	1959	1992	1996	2009	1978	1998	1984	2015	1998	1998
United Kingdom	1953	1953	1953	2015	2015	2015	2015	2015	2015	2015	2015
United States	1956	1956	1956	1996	2014	1996	1996	1996	1996	1953	1954
United States Minor Outlying Islands	1976	1973	1949	1953	1974	1977	2001	2000	1974	1975	1975
Uruguay	1995	1962	2003	1985	1990	2013	1987	1996	2009	1987	1995
Uzbekistan	2014	2014	2014	1988	1995	2010	2010	2015	2015	1981	1981
Vanuatu	1989	2003	1989	1986	2011	1986	1979	1986	1981	1979	1979
Venezuela	1996	1996	1996	1960	1996	1953	1991	1959	1991	1991	1991
Vietnam	1963	1963	2015	1997	1968	1957	1964	2015	1990	1965	1965
Western Sahara	2008	2008	1958	1958	2000	1966	1997	1958	1999	1997	1997
Yemen	2013	2013	2012	2011	2012	2012	1961	1944	1961	1961	1961
Yugoslavia	1995	1995	1995	1997	1986	2011	2008	2013	2014	1982	1982
Zambia	2010	2004	2010	EMPTY	2008	2004	2008	2007	2006	2008	2008
Zimbabwe	1965	1967	1965	1983	1985	1986	1966	1963	1966	1966	1966
